"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B07V5QL5GJ","B07MTP9LB3","2 Pack of 50 Ft Black Extension Cord - 16/3 Durable Electrical Cable Pack","OS-IFC-163B50-PK2","108","0.75%","150","0.79%","83%","72","14","66.67%","12.96%","$2,455.31","$497.86","45","8"
"B095XKCPWB","B074DY8MMH","Barcaloo Ring Toss Game - Wall Hanging Hook and Ring Game for Kids and Adults - Includes 13 Metal Hooks and 12 Rubber Rings","OS-BCL-HTOSS-A","44","0.30%","58","0.31%","100%","13","5","29.55%","11.36%","$259.87","$99.95","13","5"
"B082MNRGZW","B074SP7TK3","Barcaloo 1000 Piece Building Bricks Set- 10 Classic Colors Guaranteed Tight Fit, Compatible with All Major Brands","OS-BCL-B1000R-FN","224","1.55%","327","1.72%","99%","89","29","39.73%","12.95%","$2,135.11","$695.71","58","5"
"B08Z2XNQWH","B07B42HY4H","Thonapa 30 Ft Retractable Extension Cord Reel with Breaker Switch and 3 Electrical Power Outlets - 16/3 SJTW Durable Orange Cable - Perfect for Hanging from Your Garage Ceiling","OS-TH-163CR30-BRK","134","0.92%","180","0.95%","96%","43","4","32.09%","2.99%","$1,676.57","$155.96","32","4"
"B0942FF371","B07B42RLVF","Thonapa 25 Foot Outdoor Extension Cord - 12/3 Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","OS-TH-123Y25-FN","47","0.32%","63","0.33%","98%","27","4","57.45%","8.51%","$754.41","$108.90","27","4"
"B07HKNMZ86","B01N4GCZMK","50 Ft Outdoor Extension Cord - 16/3 Durable Black Cable with 3 Prong Grounded Plug for Safety","OS-IFC-163B50","120","0.83%","148","0.78%","89%","56","3","46.67%","2.50%","$1,546.16","$82.83","47","3"
"B0942FF371","B07B42HXKD","Thonapa 10 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","OS-TH-123Y10-FN","151","1.04%","189","1.00%","99%","48","4","31.79%","2.65%","$1,055.52","$87.96","45","3"
"B08YP68P3T","B07S29WFW6","Thonapa 2 Pack of 15 Ft Black Extension Cords - 16/3 Heavy Duty Outdoor Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B15-2PK-FN","28","0.19%","51","0.27%","69%","72","59","257.14%","210.71%","$1,277.29","$1,061.41","14","3"
"B08YP68P3T","B07S29WFW6","Thonapa 2 Pack of 15 Ft Black Extension Cords - 16/3 Heavy Duty Outdoor Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B15-2PK","28","0.19%","51","0.27%","69%","31","8","110.71%","28.57%","$526.69","$135.92","11","3"
"B019PC59SG","B019PC59SG","Play Platoon H2PONG Inflatable Beer Pong Raft, Includes 5 Ping Pong Balls - Floating Pool Party Game Float Set","OS-PP-INPONGR","116","0.80%","165","0.87%","78%","18","2","15.52%","1.72%","$665.82","$73.98","18","2"
"B01LR30Y6S","B077XN75ZG","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - White & Black","OS-PP-CH-WHBK","69","0.48%","79","0.42%","85%","26","2","37.68%","2.90%","$649.74","$49.98","24","2"
"B0942VM6QJ","B07B41HM68","Thonapa 2Ft Outdoor Extension Cord - 12/3 Heavy Duty Yellow 3 Prong Extension Cable with 3 Electrical Power Outlets - Great for Garden & Major Appliances","OS-TH-123Y2P-FN","41","0.28%","53","0.28%","96%","31","13","75.61%","31.71%","$315.85","$129.87","15","2"
"B07HBBXBQG","B07B8CZBCV","Barcaloo 20 Rock Climbing Wall Hand Holds for Kids for Outdoor Playground - Includes Mounting Hardware","OS-BCL-CROCK20-A","20","0.14%","31","0.16%","100%","5","3","25.00%","15.00%","$119.85","$71.91","4","2"
"B01LR30Y6S","B07LG9QM4J","Weather Resistant Cornhole Bean Bags Set of 8 - Orange & Blue","OS-PP-CH-ORBL","109","0.75%","136","0.72%","82%","43","5","39.45%","4.59%","$859.57","$99.95","40","2"
"B07PP47C1G","B07PP46PDV","Ilyapa Contemporary Half Dome Heavy Duty Floor Mounted Door Stop with Rubber Bumper - Matte Black 5 Pack","OS-IL-DS-FM-BK5","25","0.17%","37","0.19%","100%","21","6","84.00%","24.00%","$398.79","$113.94","13","2"
"B07BK7BKNZ","B07Q4FFRZK","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Royal Blue & Black","OS-BCL-CH-BLBK","165","1.14%","205","1.08%","98%","53","3","32.12%","1.82%","$903.27","$50.97","50","2"
"B0913H3LXD","B07RZ9FLJZ","Thonapa 2 Pack of 6 Ft White Extension Cords - 16/3 Durable Indoor Outdoor Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163W06-2PK-FN","20","0.14%","34","0.18%","100%","25","6","125.00%","30.00%","$374.75","$89.94","19","2"
"B08L449YXM","B081HYXYCW","50 Foot Outdoor Extension Cord with 3 Electrical Power Outlets - 16/3 Durable Green Power Cable","OS-TH-163G50P","22","0.15%","27","0.14%","100%","17","2","77.27%","9.09%","$382.69","$44.23","14","2"
"B08L449YXM","B081J8J3PV","15 Foot Outdoor Extension Cord with 3 Electrical Power Outlets - 16/3 Durable Green Power Cable","OS-TH-163G15P","27","0.19%","29","0.15%","100%","13","2","48.15%","7.41%","$181.87","$27.98","13","2"
"B082DH44BR","B082DHP3J6","Playground Safety Handles 4 Pack Color Combination Set – Set of 2 Green and 2 Yellow Grab Handle Safety Bars for Jungle Gym","OS-BCL-PG-SHANDLE-GNYE","69","0.48%","91","0.48%","98%","46","2","66.67%","2.90%","$643.62","$27.94","38","2"
"B082DH44BR","B082DJ666Q","Playground Equipment Set with Kids Pirate Telescope, Steering Wheel & Safety Handle Bars for Jungle Gym","OS-BCL-PG-PTBUND","53","0.37%","79","0.42%","100%","28","2","52.83%","3.77%","$958.96","$59.98","28","2"
"B07GZYPN6T","B015QDLQGC","Play Platoon Ring Toss Game - Backyard Games for Kids - Includes 8 Rope & 8 Plastic Rings and Carry Bag","OS-PP-RINGTOSS","93","0.64%","129","0.68%","34%","11","1","11.83%","1.08%","$219.89","$19.99","11","1"
"B07HGC2RJL","B01BYK3KR4","Play Platoon Parachute 6 Foot for Kids with 8 Handles Play Parachute - Multicolored Parachute","OS-PP-PARA6","88","0.61%","104","0.55%","14%","3","1","3.41%","1.14%","$49.47","$16.49","3","1"
"B097HL6Z14","B01JMZX46U","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","OS-IL-CABKRB-B10","45","0.31%","58","0.31%","91%","9","1","20.00%","2.22%","$154.91","$16.99","9","1"
"B08W9K4BGM","B01N9JZAN9","30Ft Retractable Extension Cord Reel with Breaker Switch & 3 Electrical Power Outlets - 16/3 SJTW Durable Yellow Cable - Perfect for Hanging from Your Garage Ceiling","OS-IFC-163CR30-BRK","258","1.78%","322","1.70%","73%","31","2","12.02%","0.78%","$1,318.50","$87.90","25","1"
"B071415ZJW","B071415ZJW","Barcaloo Kids Playground Steering Wheel - Pirate Ship Wheel for Jungle Gym or Swing Set","OS-BCL-PG-PWHEEL12-FN","47","0.32%","54","0.28%","100%","50","1","106.38%","2.13%","$832.51","$16.99","47","1"
"B01LR30Y6S","B0785GJ9LF","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Hunter Green & Black","OS-PP-CH-HGBK","131","0.90%","165","0.87%","48%","22","1","16.79%","0.76%","$416.90","$18.95","22","1"
"B07HB8XJ8T","B078SGSWYM","Glass Beer Bottles for Home Brewing - Square 12 Pack with Flip Caps and Funnel","OS-BCL-SQBTL8C-12-A","131","0.90%","188","0.99%","95%","35","2","26.72%","1.53%","$886.63","$49.98","26","1"
"B0942FF371","B07B3ZJWHJ","Thonapa 100 Foot Outdoor Extension Cord - 12/3 Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","OS-TH-123Y100-FN","47","0.32%","56","0.29%","98%","9","1","19.15%","2.13%","$656.91","$72.99","9","1"
"B08L44X532","B07B428KVR","Thonapa 100 Ft Outdoor Extension Cord - 16/3 Durable Green Cable with 3 Prong Grounded Plug for Safety - Great for Christmas Lights, Garden and Major Appliances","OS-TH-163G100-FN","50","0.35%","66","0.35%","98%","15","1","30.00%","2.00%","$614.85","$40.99","14","1"
"B08Z2XNQWH","B07B42HY4H","Thonapa 30 Ft Retractable Extension Cord Reel with Breaker Switch and 3 Electrical Power Outlets - 16/3 SJTW Durable Orange Cable - Perfect for Hanging from Your Garage Ceiling","OS-TH-163CR30-BRK-FN","134","0.92%","180","0.95%","96%","9","1","6.72%","0.75%","$350.91","$38.99","8","1"
"B08YP68P3T","B07B42Q3R9","Thonapa 6 Ft Black Extension Cord - 16/3 Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B06-FN","59","0.41%","75","0.39%","100%","59","1","100.00%","1.69%","$634.81","$11.27","51","1"
"B08YP68P3T","B07B42YC1J","Thonapa 100 Ft Black Extension Cord - 16/3 Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B100-FN","31","0.21%","43","0.23%","100%","21","5","67.74%","16.13%","$881.79","$209.95","16","1"
"B07BK7BKNZ","B07BK6CKF7","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Silver & Black","OS-BCL-CH-SLBK","41","0.28%","46","0.24%","100%","22","2","53.66%","4.88%","$417.78","$37.98","14","1"
"B07BKBXK3W","B07BKBXK3W","Barcaloo Climbing Rope with Disc Swing Seat - Playground Equipment Set","OS-BCL-PG-DCROPE78-FN","36","0.25%","49","0.26%","100%","15","1","41.67%","2.78%","$359.25","$23.95","15","1"
"B07FFFMBRN","B07FFB622C","Ilyapa Ball Catch Door Hardware for Closet, Black 2 Pack","OS-IL-CDBC-BK2","43","0.30%","58","0.31%","71%","8","1","18.60%","2.33%","$103.92","$12.99","7","1"
"B01LR30Y6S","B07LGD61Z3","Weather Resistant Cornhole Bean Bags Set of 8 - Blue & Gray","OS-PP-CH-BLGY","196","1.35%","249","1.31%","4%","10","1","5.10%","0.51%","$179.50","$17.95","10","1"
"B097HL6Z14","B07PPV6HVJ","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Ringed Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","OS-IL-CABKRG-B25","28","0.19%","41","0.22%","17%","1","1","3.57%","3.57%","$29.99","$29.99","1","1"
"B07BK7BKNZ","B07Q3HF36T","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Yellow & Blue","OS-BCL-CH-BLYE","43","0.30%","51","0.27%","100%","29","1","67.44%","2.33%","$521.71","$17.99","26","1"
"B07BK7BKNZ","B07Q3HHCH9","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Orange & Royal Blue","OS-BCL-CH-ORBL","79","0.55%","98","0.52%","100%","20","3","25.32%","3.80%","$359.80","$53.97","17","1"
"B08YP68P3T","B07S2CNPSX","Thonapa 2 Pack of 10 Ft Black Extension Cords - 16/3 Heavy Duty Outdoor Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B10-2PK-FN","66","0.46%","95","0.50%","99%","12","1","18.18%","1.52%","$215.88","$16.99","12","1"
"B07VRSV5PP","B07VNNPVND","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes","OS-PUN-CH-FLAG","27","0.19%","30","0.16%","100%","8","1","29.63%","3.70%","$183.92","$22.99","8","1"
"B09153LDGY","B07ZDG2LL9","Thonapa 15 Ft Black Extension Cord 2 Pack - 16/2 Durable Electrical Cable","OS-TH-162B15-2PK","16","0.11%","21","0.11%","100%","7","1","43.75%","6.25%","$90.14","$12.55","7","1"
"B09153LDGY","B07ZDG8CWS","Thonapa 6 Ft Black Extension Cord 2 Pack - 16/2 Durable Electrical Cable","OS-TH-162B6-2PK","13","0.09%","20","0.11%","100%","3","1","23.08%","7.69%","$26.97","$8.99","3","1"
"B07PDZY8VY","B07ZTHNXWG","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Royal Blue & 4 Gray","OS-PP-CHPRO2-BLGY","293","2.02%","386","2.03%","20%","7","1","2.39%","0.34%","$179.94","$29.99","6","1"
"B07PDZY8VY","B07ZTN6Y6D","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Orange & 4 Black","OS-PP-CHPRO2-ORBK","118","0.81%","154","0.81%","24%","16","3","13.56%","2.54%","$434.85","$86.97","14","1"
"B07BK7BKNZ","B07ZTNWMRQ","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Navy Blue & Gray Blue & Hunter Green","OS-BCL-CH-HGNB","39","0.27%","48","0.25%","100%","8","1","20.51%","2.56%","$159.92","$19.99","8","1"
"B07BK7BKNZ","B07ZTNZWJR","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Navy Blue & Orange","OS-BCL-CH-ORNB","31","0.21%","33","0.17%","100%","12","1","38.71%","3.23%","$227.88","$18.99","12","1"
"B07BK7BKNZ","B07ZTQ53BM","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Hunter Green & Gray","OS-BCL-CH-HGGY","62","0.43%","70","0.37%","100%","14","1","22.58%","1.61%","$259.73","$18.78","13","1"
"B0913H3LXD","B081HYJMMH","20 Ft White Extension Cord - 16/3 Durable Outdoor Electrical Cable","OS-TH-163W20-FN","18","0.12%","29","0.15%","90%","14","2","77.78%","11.11%","$168.87","$25.98","12","1"
"B0913H3LXD","B081HYJMMH","20 Ft White Extension Cord - 16/3 Durable Outdoor Electrical Cable","OS-TH-163W20","18","0.12%","29","0.15%","90%","8","2","44.44%","11.11%","$111.92","$27.98","7","1"
"B0949TJKTB","B081J1QVTW","8 Ft Extension Cord with 3 Electrical Power Outlets- 16/3 Durable Black Cable","OS-TH-163B08P3","21","0.14%","28","0.15%","100%","11","1","52.38%","4.76%","$76.89","$6.99","11","1"
"B07B83RC6V","B082DJBGL1","Barcaloo Rock Climbing Wall Hand Holds for Kids for Outdoor Playground - Pack of 10","OS-BCL-PG-CRBUND","32","0.22%","61","0.32%","97%","15","1","46.88%","3.13%","$449.41","$29.95","14","1"
"B086H44FMC","B086H44FMC","Barcaloo Giant Wooden Yard Dice - Yardzee Outdoor Game Set 3.5 inch- 6 Jumbo Dice, Scoreboard and Durable Carrying Bag - Fun for All Age and Occasion","OS-BCL-DICE-6PK","24","0.17%","28","0.15%","100%","7","1","29.17%","4.17%","$188.93","$26.99","7","1"
"B0942FF371","B0876CYMR1","10 Ft Outdoor Extension Cord, 2 Pack - 12/3 Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","OS-TH-123Y10-2PK","21","0.14%","29","0.15%","100%","28","1","133.33%","4.76%","$811.72","$28.99","27","1"
"B088P7JWVS","B088P89K41","Play Platoon Hook and Ring Game with Bottle Opener and Magnetic Cap Catch - Ring Toss Game for Adults, Rustic Wood","OS-PP-HKRING-BN-A","231","1.59%","283","1.49%","100%","62","1","26.84%","0.43%","$1,983.38","$31.99","61","1"
"B08657CFDJ","B08B16G7T3","Waterproof Extension Cord Connection Box - Black Weatherproof Outdoor Box for Electrical Connections","OS-TH-WPB-BK","79","0.55%","96","0.51%","100%","21","1","26.58%","1.27%","$600.87","$28.00","20","1"
"B096BLQX96","B08J7FS7NR","50 Ft Retractable Extension Cord Reel - 14/3 SJTW Heavy Duty Orange Cable - 2 In 1 Mountable & Portable Power Cord Reel with 3 Electrical Outlets","OS-TH-143CR50-ORGY","49","0.34%","68","0.36%","94%","5","1","10.20%","2.04%","$382.98","$76.00","5","1"
"B082DH44BR","B08MQR1FQL","Barcaloo Playground Safety Handles – Red Grab Handle Bars for Jungle Gym","OS-BCL-PG-SHANDLE-RE","21","0.14%","29","0.15%","100%","21","1","100.00%","4.76%","$167.25","$7.95","15","1"
"B082DH44BR","B08MQR2QP8","Barcaloo Playground Safety Handles – Blue Grab Handle Bars for Jungle Gym","OS-BCL-PG-SHANDLE-BL","19","0.13%","25","0.13%","96%","4","1","21.05%","5.26%","$45.54","$12.78","4","1"
"B08YP6ZSSF","B08NK6KHXK","25 Foot Outdoor Extension Cord with 3 Electrical Power Outlets - 10/3 SJTW Neon Green 10 Gauge Cable with 3 Prong Grounded Plug for Safety","OS-TH-103NG25P","37","0.26%","54","0.28%","100%","3","1","8.11%","2.70%","$125.98","$44.64","3","1"
"B08YP68P3T","B08NK7MBLY","Thonapa 75 Ft Black Extension Cord - 16/3 Electrical Cable with 3 Prong Grounded Plug for Safety","OS-TH-163B75","17","0.12%","21","0.11%","100%","17","1","100.00%","5.88%","$577.83","$33.99","15","1"
"B08YP12CH3","B08NKC7MFM","3 Prong Dryer Extension Cord, Gray - 6 Foot Power Cord, 10/3 SRDT, 30 Amp, NEMA 10-30 Plug","OS-TH-103DRY-GY06","33","0.23%","42","0.22%","98%","19","1","57.58%","3.03%","$322.81","$16.99","19","1"
"B08YP13ZJV","B08NKDFHD8","4 Prong Dryer Extension Cord, Black - 10 Foot Power Cord, 10/4 SRDT, 30 Amp, NEMA 14-30 Plug","OS-TH-104DRY-BK10","31","0.21%","43","0.23%","100%","13","1","41.94%","3.23%","$357.87","$26.99","13","1"
"B08ZGNTX4V","B08NWDZ8FY","14/2 Low Voltage Landscape Wire, 250 Ft - Black Outdoor Low-Voltage Cable for Landscape Lighting","OS-TH-LV142B250","18","0.12%","26","0.14%","100%","13","1","72.22%","5.56%","$1,000.87","$76.99","11","1"
"B098RDSR3F","B08Q6LZWM6","Satin Nickel Kitchen Cabinet Knobs - Square Beveled Drawer Handles - 30 Pack of Kitchen Cabinet Hardware","OS-BCL-CKSQ-S30","51","0.35%","71","0.37%","99%","6","1","11.76%","1.96%","$207.94","$49.99","6","1"
"B098RDSR3F","B08Q6Q6NMN","Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Beveled Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","OS-BCL-CKRB-B10","43","0.30%","53","0.28%","100%","3","1","6.98%","2.33%","$65.97","$29.99","3","1"
"B098RDSR3F","B08Q6S3XH5","Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Drawer Handles - 30 Pack of Kitchen Cabinet Hardware","OS-BCL-CKRD-B30","43","0.30%","62","0.33%","100%","8","2","18.60%","4.65%","$273.92","$69.98","6","1"
"B097HL6Z14","B01JMZX7L2","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","OS-IL-CABKRB-B25","171","1.18%","225","1.18%","20%","1","0","0.58%","0.00%","$25.99","$0.00","1","0"
"B01LR30Y6S","B01K4ZDLII","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Silver & 4 Black","OS-PP-CH-SLBK","256","1.77%","323","1.70%","7%","6","0","2.34%","0.00%","$107.94","$0.00","6","0"
"B01LR30Y6S","B01K4ZDO0S","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Red & 4 Gray","OS-PP-CH-REGY","145","1.00%","180","0.95%","3%","6","0","4.14%","0.00%","$119.94","$0.00","6","0"
"B01LR30Y6S","B01K4ZDO2G","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Red & 4 Black.","OS-PP-CH-REBK","874","6.03%","1,216","6.40%","1%","6","0","0.69%","0.00%","$107.70","$0.00","6","0"
"B07JBH4QN7","B01N6J7ORA","6 Ft White Extension Cord - 16/3 Durable Electrical Cable","OS-IFC-163W06","66","0.46%","105","0.55%","89%","50","0","75.76%","0.00%","$473.50","$0.00","49","0"
