"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-19","SS-PUN-CHC-REBK","X0029BTCA3","B07VPRC5GN","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Black","New","105","0","105","0","0","0","0","USD","0","0.0","0","0.0","5","10","10","10","Low traffic","20.99","20.99","20.99","0.0","Advertise listing","0","16.791999999999998","364","0","4579.222705168764","0.1941747572815534","26.675145","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-REBL","X00298E8DH","B07VPRFZRZ","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Blue","New","131","0","131","0","0","0","0","USD","0","0.0","0","0.0","5","18","18","18","Low traffic","19.99","19.99","19.99","0.0","Advertise listing","0","18.790599999999998","364","0","1423.4901209288275","0.24573378839590443","1.819459","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-NBYE","X002D7FPKT","B07ZTVSXX7","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Navy Blue & 4 Yellow","New","4","0","4","0","0","0","0","USD","0","0.0","0","0.0","3","30","61","94","","19.49","19.49","19.49","0.0","Improve recommendations","6","19.49","0","0","0.0","3.032258064516129","0.805924","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-YEBK","X00298E8D7","B07VMNX7JW","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Yellow and 4 Black","New","74","0","74","0","0","0","0","USD","0","0.0","0","0.0","0","1","1","1","Low traffic","17.99","17.99","17.99","0.0","Improve recommendations","0","17.99","63","0","3288.9907693480745","0.027972027972027972","20.470250","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-B","X002GTTRKN","B084WP1KRK","Punchau Lawn Aerator Shoes with Hook and Loop Straps - New Heavy Duty Spiked Aerating Sandals with Upgraded Soles and Straps for Aerating Your Lawn or Yard","New","393","0","393","0","0","0","0","USD","0","0.0","0","0.0","15","137","212","310","Low traffic","14.99","14.99","14.99","0.0","Lower price","401","16.99","0","0","0.0","1.2003872216844143","60.423750","cubic feet","Standard"
"2021-07-19","SS-DD-WM17X24-FBA-BG","X00229KGAH","B07N1X3X5Q","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 17x24 Inch (Pack of 1)","New","53","0","19","34","0","0","0","USD","0","0.0","0","0.0","5","40","91","118","","8.99","8.99","8.99","0.0","Improve recommendations","55","8.99","0","0","0.0","0.5679903730445247","2.191179","cubic feet","Standard"
"2021-07-19","SS-DD-WMCP-FBA-BG","X00226NJ3L","B00IOQLNGW","Waterproof Mattress Sheet Protector Bed Underpad - Super Absorbent 24 x 36","New","17","0","0","17","0","0","0","USD","0","0.0","0","0.0","2","12","37","59","","10.99","10.99","10.99","0.0","Improve recommendations","17","11.99","0","0","0.0","1.2967032967032968","1.565411","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-HGNB","X002D7FPJ5","B07ZTV9KHG","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Hunter Green & 4 Navy Blue","New","200","0","200","0","0","0","0","USD","0","0.0","0","0.0","11","77","123","153","","16.99","16.99","16.99","0.0","Improve recommendations","202","16.99","0","0","0.0","0.8010471204188482","35.959000","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-HD-A","X002GTV3AP","B084WQ3MF7","Punchau Lawn Aerator Shoes with Secure Fit Heel Strap, Heavy Duty Pre-Assembled Spiked Sandals with Metal Buckles and 3 Straps for Aerating Your Lawn or Yard","New","856","0","856","0","0","0","0","USD","0","0.0","0","0.0","66","239","303","433","Low traffic","14.99","14.99","14.99","0.0","Advertise listing","264","13.3411","364","0","6161.396614737325","0.8318924111431316","145.780224","cubic feet","Standard"
"2021-07-19","SS-CT-MO14SLAT-WHT","X002RI5TRD","B08RZBDW73","Wall Mounted Mail and Key Organizer - Wooden Wall Mount Mail Organizer - Weathered White Wood Slats with Black Key Rack Hooks, Decorative Farmhouse Slatted Design","New","88","0","88","0","0","0","0","USD","0","0.0","0","0.0","1","1","1","1","Low traffic","22.99","22.99","22.99","0.0","Lower price","85","22.99","0","0","0.0","0.039603960396039604","54.630136","cubic feet","Standard"
"2021-07-19","SS-CT-TB5x6-BK","X002RKADEZ","B08S61Y1DR","Rustic Farmhouse Tissue Box Cover - Wooden Black Square Tissue Holder Easy to Refill - 5” x 6“","New","50","0","50","0","0","0","0","USD","0","0.0","0","0.0","20","47","47","47","","13.99","13.99","13.99","0.0","Improve recommendations","47","13.99","0","0","0.0","3.6862745098039214","7.979400","cubic feet","Standard"
"2021-07-19","SS-DD-WMXL-TUCK-FBA-BG","X00229JY2X","B00KGGT98M","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 36x70 Inch (Pack of 1)","New","56","0","7","49","0","0","0","USD","0","0.0","0","0.0","8","53","117","204","Low traffic","24.99","24.99","24.99","0.0","Lower price","55","24.99","0","0","0.0","1.3161290322580645","12.441352","cubic feet","Standard"
"2021-07-19","SS-DD-WMS1-FBA-BG","X00224VONF","B001T4UNNU","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 34x36 Inch (Pack of 1)","New","76","0","4","72","0","0","0","USD","0","0.0","0","0.0","6","35","99","115","","15.99","15.99","15.99","0.0","Improve recommendations","78","15.99","0","0","0.0","0.5367561260210035","9.621752","cubic feet","Standard"
"2021-07-19","SS-CT-GCANB-MUL1-6PK","X002PGIWWV","B08N1KYHTP","Crutello Glass Food Storage Containers with Bamboo Lids, 6 Pack - Three 26 Fluid oz and Three 23 Fluid oz Airtight Clear Kitchen Organization Canisters","New","162","0","162","0","0","0","0","USD","0","0.0","0","0.0","4","21","43","43","Low traffic","24.99","24.99","24.99","0.0","Lower price","165","24.99","0","0","0.0","0.4858757062146893","91.864530","cubic feet","Standard"
"2021-07-19","SS-DD-WMS3-FBA-BG","X00227SCSH","B00IOQLOXY","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 34x52 Inch (Pack of 1)","New","44","0","0","44","0","0","0","USD","0","0.0","0","0.0","5","27","95","124","","19.99","19.99","19.99","0.0","Improve recommendations","44","19.99","0","0","0.0","0.8435374149659864","7.355964","cubic feet","Standard"
"2021-07-19","SS-CT-TB5x6-WHT","X002RK7HHV","B08S5R61SX","Rustic Farmhouse Tissue Box Cover - Wooden White Square Tissue Holder Easy to Refill - 5” x 6“","New","10","0","10","0","0","0","0","USD","0","0.0","0","0.0","77","145","145","145","","15.99","15.99","15.99","0.0","Improve recommendations","2","15.99","0","0","0.0","29.0","1.557200","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-A","X0028ZJ32R","B07VHK1YHG","Punchau Lawn Aerator Shoes w/Metal Buckles and 3 Straps - Heavy Duty Spiked Sandals for Aerating Your Lawn or Yard","New","560","0","560","0","0","0","0","USD","0","0.0","0","0.0","23","55","56","59","Low traffic","14.99","14.99","14.99","0.0","Advertise listing","41","12.7415","364","0","9023.948127749898","0.18864908073541167","105.484960","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-ORBK","X0029CUH6F","B07VPRDD67","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Black","New","45","0","45","0","0","0","0","USD","0","0.0","0","0.0","0","26","71","95","","17.99","17.99","17.99","0.0","Improve recommendations","45","17.99","0","0","0.0","1.237785016286645","5.388300","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-REGR","X00298E4X1","B07VRSS85Z","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Red & 4 Gray","New","42","0","42","0","0","0","0","USD","0","0.0","0","0.0","1","16","34","53","","18.49","18.49","18.49","0.0","Improve recommendations","42","18.49","0","0","0.0","0.9814814814814815","7.264320","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-ORBL","X0029B1W0B","B07VQWGL3N","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Royal Blue","New","12","0","12","0","0","0","0","USD","0","0.0","0","0.0","4","11","47","71","","18.49","18.49","18.49","0.0","Improve recommendations","13","18.49","0","0","0.0","1.6228571428571428","1.936572","cubic feet","Standard"
"2021-07-19","SS-WMXL-Tuck-2PK","X002C9URER","B07YYJSP4F","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 36x70 Inch (Pack of 2)","New","209","0","14","195","0","0","0","USD","0","0.0","0","0.0","11","71","141","196","Low traffic","30.99","30.99","30.99","0.0","Lower price","18","30.99","0","0","0.0","0.3685942642219088","80.398956","cubic feet","Standard"
"2021-07-19","SS-DD-ORGANIC-FITTED-MINI-CRIB-182438E","X002476CD7","B01865W7P6","Organic, Waterproof Natural Quilted Fitted Portable/Mini Crib Pad Cover","New","12","0","0","12","0","0","0","USD","0","0.0","0","0.0","5","53","114","156","","28.9","28.9","28.9","0.0","Improve recommendations","13","24.99","0","0","0.0","1.5369458128078817","2.225004","cubic feet","Standard"
"2021-07-19","SS-DD-ORGANIC-FITTED-MATTRESS-182739E","X00243CLJP","B01865W8OG","Organic, Cotton Quilted Pack 'n Play Size Fitted Mattress Pad Cover, Natural","New","57","0","4","53","0","0","0","USD","0","0.0","0","0.0","10","59","154","211","","20.99","20.99","20.99","0.0","Improve recommendations","54","21.48","0","0","0.0","1.2466765140324962","9.089733","cubic feet","Standard"
"2021-07-19","SS-CT-GCANB-32-3PK","X002PGIX39","B08N1M4R2P","Crutello Glass Food Storage Containers with Bamboo Lids, 3 Pack - 32 Fluid oz Airtight Clear Kitchen Organization Canisters","New","121","0","121","0","0","0","0","USD","0","0.0","0","0.0","8","21","24","24","Low traffic","17.99","17.99","17.99","0.0","Lower price","126","17.99","0","0","0.0","0.366412213740458","43.955549","cubic feet","Standard"
"2021-07-19","SS-DD-WMOL-FBA-BG","X00228M7XH","B00070QHEQ","Waterproof Bed Pad, 34 x 52 Inches - Super Absorbent Large Mattress Sheet Protector Underpad","New","60","0","6","54","0","0","0","USD","0","0.0","0","0.0","10","54","165","222","","17.99","17.99","17.99","0.0","Improve recommendations","61","17.99","0","0","0.0","1.2982456140350878","8.589600","cubic feet","Standard"
"2021-07-19","SS-DD-WMXL-BG","X00228LONB","B000U5ECDQ","Quilted Waterproof Mattress Overlay Pad - Extra Large Flat 36x70 ""","New","82","0","0","82","0","0","0","USD","0","0.0","0","0.0","9","59","118","205","Low traffic","25.99","25.99","25.99","0.0","Lower price","85","25.99","0","0","0.0","0.9425287356321839","19.770282","cubic feet","Oversize"
"2021-07-19","SS-DD-WMO1-FBA-4PK-BG","X00228M2PZ","B07N1WNB4H","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 34x36 Inch (Pack of 4)","New","1132","0","67","1065","0","0","0","USD","0","0.0","0","0.0","52","235","539","857","","38.99","38.99","38.99","0.0","Improve recommendations","940","38.99","0","0","0.0","0.49352145119493235","368.902952","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-HD","X0025CP6N3","B07RG67T12","Punchau Lawn Aerator Shoes with Hook and Loop Fastener and 3 Straps - New Heavy Duty Spiked Aerating Sandals with Upgraded Soles and Straps for Aerating Your Lawn or Yard","New","646","0","646","0","0","0","0","USD","0","0.0","0","0.0","38","185","195","203","Low traffic","17.99","17.99","17.99","0.0","Advertise listing","188","13.6724","364","0","7771.457683567081","0.582078853046595","104.717892","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-BLBK","X00298E3L9","B07VRR4FB3","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Royal Blue and 4 Black","New","70","0","70","0","0","0","0","USD","0","0.0","0","0.0","2","4","4","4","Low traffic","18.49","18.49","18.49","0.0","Advertise listing","0","15.346699999999998","364","0","3184.6606930586518","0.10738255033557047","19.225920","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-REBL","X00298E3LT","B07VNNS8LQ","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Red & 4 Royal Blue","New","54","0","54","0","0","0","0","USD","0","0.0","0","0.0","22","109","231","283","","23.99","18.99","18.99","0.0","Improve recommendations","64","19.99","0","0","0.0","1.5854341736694677","9.044784","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-FLAG","X002993QP7","B07VRXZRFQ","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Orange and 4 Black","New","109","0","109","0","0","0","0","USD","0","0.0","0","0.0","14","45","45","45","Low traffic","21.49","21.49","21.49","0.0","Advertise listing","0","13.968499999999999","364","0","4859.251030297257","0.7468879668049793","27.981063","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-REGR","X0029A32W3","B07VRSYZQR","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Gray","New","71","0","71","0","0","0","0","USD","0","0.0","0","0.0","2","5","5","5","Low traffic","20.99","20.99","20.99","0.0","Advertise listing","0","16.791999999999998","364","0","3155.1421645974006","0.14184397163120568","19.137979","cubic feet","Standard"
